,City,Country,Latitude,Longitude,Name,Address
0,Kununurra,AU,-15.77,128.73,Freshwater East Kimberley Apartments | Kununurra Accommodation,"19 Victoria Hwy, Kununurra"
1,Benguela,AO,-12.58,13.41,Aparthotel Mil Cidades,"R. Aires de Almeida Santos, Benguela"
2,Weleri,ID,-6.97,110.07,Hotel Jatisari,"Jl. Raya Montong Sari, Weleri, Pandan Sari, Weleri, Kabupaten Kendal"
3,Ji’an,CN,27.12,114.98,Ji'an Hotel,"99 Yan Jiang Lu, Jizhou District, Ji'an, Ji'an"
4,Morondava,MG,-20.28,44.28,Kimony Resort Hotel,Morondava
5,Sirte,LY,31.21,16.59,City Hotel,رقم 1، Sirte
6,Kamenka,RU,51.32,42.77,,
7,Labuhan,ID,-6.88,112.21,,
8,Erzin,TR,36.96,36.2,Hattusa Vacation Thermal Club Erzin,"Başlamış, Erzin"
9,Detchino,RU,54.81,36.31,"Motel' ""Detchino""",Kiyevskoye Shosse
10,Ngawen,ID,-7.0,111.31,,
11,Goderich,CA,43.75,-81.72,Samuels Hotel,"34031 Saltford Rd, Goderich"
12,Søgne,NO,58.08,7.82,,
